smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,1-triphenylsilyloxiranyllithium,oxiranylLi,-10.0,3.384252627407402,0.5294627747552613,1.58681,,True,formation_only,-0.2375,1.9299,0.3765,435.2000000000001,-93.45,-8.539,2.42,-0.0731,2.6715,7.4684,4.5803,322.98,5.214,0.5304
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,1-triphenylsilyloxiranyllithium,oxiranylLi,0.0,2.15361,0.33316705913690664,2.85028,0.00623522,False,competing,-0.2375,1.9299,0.3765,435.2000000000001,-93.45,-8.539,2.42,-0.0731,2.6715,7.4684,4.5803,322.98,5.214,0.5304
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,1-triphenylsilyloxiranyllithium,oxiranylLi,24.0,0.0817191,-1.0876764250448037,84.4581,0.0855557,False,competing,-0.2375,1.9299,0.3765,435.2000000000001,-93.45,-8.539,2.42,-0.0731,2.6715,7.4684,4.5803,322.98,5.214,0.5304
[Li]C1(c2ccc(C)cc2)CO1,lithium 4-methylstyrene oxide,oxiranylLi,-78.0,14.745442009003005,1.1686577954835309,0.242687,,True,formation_only,-0.1418,1.8958,0.3156,451.8,-66.56,-8.699,2.793,-0.0755,1.82,6.9968,4.1158,169.35,4.647,0.5036
[Li]C1(c2ccc(C)cc2)CO1,lithium 4-methylstyrene oxide,oxiranylLi,-68.0,4.39827,0.6432818862141508,0.574445,0.0597066,False,competing,-0.1418,1.8958,0.3156,451.8,-66.56,-8.699,2.793,-0.0755,1.82,6.9968,4.1158,169.35,4.647,0.5036
[Li]C1(c2ccc(C)cc2)CO1,lithium 4-methylstyrene oxide,oxiranylLi,-58.0,1.29884,0.11355565500152819,2.01777,0.18719,False,competing,-0.1418,1.8958,0.3156,451.8,-66.56,-8.699,2.793,-0.0755,1.82,6.9968,4.1158,169.35,4.647,0.5036
[Li]C1(c2ccc(C)cc2)CO1,lithium 4-methylstyrene oxide,oxiranylLi,-48.0,0.0193307,-1.7137524190892455,297.714,0.960491,False,competing,-0.1418,1.8958,0.3156,451.8,-66.56,-8.699,2.793,-0.0755,1.82,6.9968,4.1158,169.35,4.647,0.5036
[Li]C1(c2ccc(C)cc2)CO1,lithium 4-methylstyrene oxide,oxiranylLi,-38.0,0.00880427,-2.0553066474326265,633.477,2.44851,False,competing,-0.1418,1.8958,0.3156,451.8,-66.56,-8.699,2.793,-0.0755,1.82,6.9968,4.1158,169.35,4.647,0.5036
[Li]C1(c2ccc(Cl)cc2)CO1,lithium oxiranyl anion,oxiranylLi,-78.0,2.0823842348704336,0.3185608671955443,2.85641,,True,formation_only,-0.1381,1.8998,0.3076,458.7000000000001,-69.94,-9.082,2.8360000000000003,-0.0736,1.8527,6.6822,4.1198,168.06,7.178,0.5165000000000001
[Li]C1(c2ccc(Cl)cc2)CO1,lithium oxiranyl anion,oxiranylLi,-68.0,1.35526,0.13202262047489452,4.36697,0.0119368,False,competing,-0.1381,1.8998,0.3076,458.7000000000001,-69.94,-9.082,2.8360000000000003,-0.0736,1.8527,6.6822,4.1198,168.06,7.178,0.5165000000000001
