name,smi,class,r2_L1,aic_L1,r2_L2,aic_L2,beta,dAIC,tier
tert-butyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)(C)C,o-ArLi,0.6490710663370156,371.83359431219634,0.6658471660983201,370.1107145581351,0.5966212021161359,1.722879754061239,Tier C: 一级足够
isopropyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)C,o-ArLi,0.7694250292036892,315.5951278464921,0.7710417388398474,317.1377656684789,1.1182397409646279,-1.542637821986773,Tier C: 一级足够
methyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC,o-ArLi,0.8472785164481392,314.3212735697987,0.8549824199728479,312.646248467963,0.6856234778117439,1.675025101835672,Tier C: 一级足够
ethyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OCC,o-ArLi,0.7778988523968706,340.2947275625702,0.7797386978253182,341.7457184930775,0.8138676353880198,-1.4509909305073165,Tier C: 一级足够
methyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC)c1,m-ArLi,0.935373226628024,130.23348859871993,0.9474442304867103,126.0308718631439,0.619363278589987,4.202616735576029,Tier B: 中等 stretched
isopropyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)C)c1,m-ArLi,0.7043185963774201,330.5794009100434,0.7128290912968435,330.8271011311485,0.6827410624382353,-0.2477002211051058,Tier C: 一级足够
tert-butyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)(C)C)c1,m-ArLi,0.7319909972994441,306.7822016448308,0.7552578843259362,302.78837831387636,0.6437744968080921,3.9938233309544557,Tier B: 中等 stretched
tert-butyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC(C)(C)C)cc1,p-ArLi,0.6375171108541045,341.6361727001575,0.6515355156498865,341.03306961341036,0.6574174184140659,0.6031030867471259,Tier C: 一级足够
isopropyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC(C)C)cc1,p-ArLi,0.44493435320752983,381.289192340054,0.44760616001304787,382.99968519100395,0.7383860639712793,-1.7104928509499473,Tier C: 一级足够
ethyl p-lithiobenzoate,[Li]c1ccc(C(=O)OCC)cc1,p-ArLi,0.9606507387467271,125.15389838794445,0.9622885265982347,125.87851383211658,1.2309892632317778,-0.7246154441721302,Tier C: 一级足够
methyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC)cc1,p-ArLi,0.9616737044678151,113.65637333846094,0.9621903804091104,115.249193201077,0.8838084167878505,-1.592819862616068,Tier C: 一级足够
ethyl m-lithiobenzoate,[Li]c1cccc(C(=O)OCC)c1,m-ArLi,0.962558884740104,116.80113631041694,0.9669237365426636,115.08253040891049,0.7558220689143569,1.71860590150645,Tier C: 一级足够
3-(oxiran-2-yl)propyllithium,[Li]CCCC1CO1,oxiranylLi,0.8411526937771558,258.901511757335,0.8820452167109816,242.74534707238163,0.34774869873168845,16.15616468495338,Tier A: 强 stretched 信号
lithiated 1-tert-butylsulfonyl-2-phenylaziridine,[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,other,0.9558592782168718,69.35375390920086,0.9616065396094455,68.00585926764464,0.8094155325675206,1.3478946415562234,Tier C: 一级足够
3-lithio-2-methylbenzothiophene,[Li]c1c(C)sc2ccccc12,hetero-ArLi,0.48960791577263507,544.1247807224023,0.5141796795071176,541.9308485642831,0.3861841284195051,2.193932158119196,Tier B: 中等 stretched
2-methylbenzofuran-3-yllithium,[Li]c1c(C)oc2ccccc12,hetero-ArLi,0.8788960345275904,344.1328788673196,0.8856545783027756,341.99824190103385,0.6734460184984618,2.1346369662857683,Tier B: 中等 stretched
p-formylbenzyllithium,[Li]Cc1ccc(C=O)cc1,other,0.6113600747199103,120.10721576862521,0.9527058929532797,69.450526468654,0.20000000000020812,50.656689299971205,Tier A: 强 stretched 信号
p-propanoylbenzyllithium,[Li]Cc1ccc(C(=O)CC)cc1,other,0.8590516756106754,89.74653161939483,0.8854820992905864,86.5549771028697,0.5068269927515147,3.1915545165251302,Tier B: 中等 stretched
2-bromo-2'-lithiobiphenyl,[Li]c1ccccc1-c1ccccc1Br,o-ArLi,0.9737073799357804,47.550162709596066,0.9755679088981426,48.37590964366343,0.5315026543084761,-0.8257469340673609,Tier C: 一级足够
"monolithiated 4,4'-dibromobiphenyl",[Li]c1ccc(-c2ccc(Br)cc2)cc1,p-ArLi,0.9497296097010668,53.021757893621064,0.949745676576283,55.01664333032362,1.9999999970425322,-1.9948854367025532,Tier C: 一级足够
lithium carbenoid,[Li]CSCc1ccccc1,other,0.9531298974533277,67.82274712085729,0.9766335618364576,55.20508237698101,0.6924006227104763,12.617664743876276,Tier A: 强 stretched 信号
fluoroiodomethyllithium,[Li]C(F)I,other,0.930183367245884,85.29299897714725,0.9322566269098571,86.6900863335571,1.1926000444555367,-1.3970873564098554,Tier C: 一级足够
m-cyanophenyllithium,[Li]c1cccc(C#N)c1,m-ArLi,0.9660907111156949,115.81881162303289,0.9690914596163366,114.48317936173981,0.6574158533525046,1.335632261293071,Tier C: 一级足够
o-cyanophenyllithium,[Li]c1ccccc1C#N,o-ArLi,0.9389237512697267,140.16239473939964,0.9402944323377683,141.34527444122068,0.49869620743575244,-1.1828797018210366,Tier C: 一级足够
p-cyanophenyllithium,[Li]c1ccc(C#N)cc1,p-ArLi,0.9036320171414316,155.9159024383328,0.9058698751037411,157.07005054162252,0.7208080730405501,-1.1541481032897138,Tier C: 一级足够
o-bromophenyllithium,[Li]c1ccccc1Br,o-ArLi,0.7959204163018849,281.06706687521194,0.9026584375337842,238.65002819385754,0.36470210240264517,42.4170386813544,Tier A: 强 stretched 信号
p-bromophenyllithium,[Li]c1ccc(Br)cc1,p-ArLi,0.9005485402089023,164.24906672784033,0.9005485647543344,166.24905636189618,0.36165494287528416,-1.9999896340558507,Tier C: 一级足够
m-bromophenyllithium,[Li]c1cccc(Br)c1,m-ArLi,0.8532911885521555,164.15265622689847,0.8532911916399499,166.1526553429204,1.8531730806517301,-1.9999991160219395,Tier C: 一级足够
p-Anisyllithium,[Li]c1ccc(OC)cc1,p-ArLi,0.9440090168440693,166.53502931975805,0.9446787235547258,167.88524287449502,0.20000000000016308,-1.3502135547369676,Tier C: 一级足够
p-nitrophenyllithium,[Li]c1ccc([N+](=O)[O-])cc1,p-ArLi,0.6203125868979911,155.52415492333782,0.6204768239510399,157.51117535814546,1.0371707325754682,-1.987020434807647,Tier C: 一级足够
o-nitrophenyllithium,[Li]c1ccccc1[N+](=O)[O-],o-ArLi,0.5758563727569102,153.98059580654302,0.5820980667754874,155.53583543013494,1.4522159489085464,-1.5552396235919161,Tier C: 一级足够
m-nitrophenyllithium,[Li]c1cccc([N+](=O)[O-])c1,m-ArLi,0.7536886345635689,139.17411302959647,0.7565304076865466,140.82598128198757,1.1945324104070305,-1.6518682523910968,Tier C: 一级足够
lithiated 2-(2-naphthyl)ethylene oxide,[Li]C1(c2ccc3ccccc3c2)CO1,oxiranylLi,0.9765808865159917,116.6106369759675,-2.586995253184693,294.71375471479803,0.9808687012285672,-178.10311773883052,Tier C: 一级足够
lithium oxiranyl anion,[Li]C1(c2ccc(Cl)cc2)CO1,oxiranylLi,0.9840948846230569,104.10917831252021,0.9858388536886121,102.04432240827552,1.1677935406109252,2.064855904244695,Tier C: 一级足够
oxiranyllithium,[Li]C1(C)OC1c1ccccc1,oxiranylLi,0.438130568939733,621.3903413776964,0.4434933650002493,622.4792533348116,1.5730987515043295,-1.088911957115215,Tier C: 一级足够
lithium oxiranyl anion,[Li]C1OC1c1ccccc1,oxiranylLi,0.9477254599349618,374.04348190213955,-2.47285895106677,816.6470010640372,0.9929188410890819,-442.6035191618977,Tier C: 一级足够
lithium 4-methylstyrene oxide,[Li]C1(c2ccc(C)cc2)CO1,oxiranylLi,0.9782132440878004,77.81093171270761,-1.1639924770802055,240.7552083995433,1.0392322179092726,-162.94427668683568,Tier C: 一级足够
"lithium (2R*,3S*)-2,3-diphenyloxiran-2-ide",[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,other,0.9931810508735697,53.960461894532585,0.9949885710853281,48.56883903047252,1.1642488873267103,5.391622864060068,Tier C: 一级足够
oxiranyllithium intermediate,[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,oxiranylLi,0.6079972084202261,347.97078226652604,0.6082224584875388,349.93916944461614,0.8980863940851282,-1.9683871780900972,Tier C: 一级足够
4-lithio-5-methyl-2-phenylthiazole,[Li]c1nc(-c2ccccc2)sc1C,hetero-ArLi,0.8456448916551743,174.50210090414615,0.8456448110267195,176.5021197089894,0.34591809611408186,-2.0000188048432506,Tier C: 一级足够
3-lithio-2-methyl-5-phenylthiophene,[Li]c1cc(-c2ccccc2)sc1C,hetero-ArLi,0.07773358477157444,413.79403999480496,0.07773482090571715,415.79395957541954,0.20067248316521163,-1.9999195806145735,Tier C: 一级足够
"3-lithio-2,4-dimethyl-5-phenylthiophene",[Li]c1c(C)sc(-c2ccccc2)c1C,hetero-ArLi,0.8973168205118959,145.57830058952086,0.8976341085213811,147.46688942921594,1.9999999999999998,-1.8885888396950747,Tier C: 一级足够
"2,3-dibromo-4-lithiopyridine",[Li]c1ccnc(Br)c1Br,hetero-ArLi,0.9062889786401033,128.7230377939123,0.9610256163320632,104.40370164589748,0.41647416812099414,24.319336148014827,Tier A: 强 stretched 信号
2-pyridyllithium,[Li]c1ccccn1,hetero-ArLi,0.8001916109669649,75.98083840221715,0.9467910015445591,55.48760585110487,0.3084869634013967,20.49323255111228,Tier A: 强 stretched 信号
1-triphenylsilyloxiranyllithium,[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,oxiranylLi,0.6660456504502457,195.39290095766756,0.6719433200761626,196.75145628623952,0.7232658514337279,-1.3585553285719527,Tier C: 一级足够
2-iodophenyllithium,[Li]c1ccccc1I,o-ArLi,0.9846908844109845,96.4791156365956,0.9870946888096286,93.01321181904544,1.230910752061748,3.4659038175501564,Tier C: 一级足够
