smiles,intermediate_class,actual_t_half_78C,actual_log10_t_half,actual_Ea,s1_t_half,s1_log10_t_half,s1_Ea,s2_t_half_med,s2_t_half_lo,s2_t_half_hi,s2_log10_t_half,s2_Ea_mean,s2_Ea_std
[Li]CCCC1CO1,oxiranylLi,61.62,1.7897216939809217,21.0,142.21901052593697,2.1529576527557994,46.62559435465064,208.72948150151848,0.5350499237268398,100919.49357200637,2.3195837942938886,39.50667341414094,3.7381793297918775
[Li]C(Cl)I,unknown,105.4,2.022840610876528,25.0,,,,,,,,,
[Li]c1ccccc1C(=O)OC(C)(C)C,ArLi,1117.0,3.048053173115609,28.14,138.86707415212246,2.1425992852686266,47.213336079751166,209.28252627692848,0.6004900459615741,118058.17020762066,2.3207329691016843,39.73914875904892,3.878493335271804
[Li]c1ccc([N+](=O)[O-])cc1,ArLi,416.7,2.619823500457278,28.95,218.86630797884695,2.3401789119331693,36.0025163473633,95.1389308478023,0.1169731275955662,82463.22705048411,1.9783582665971395,36.205362446541656,5.596167499939217
[Li]c1ccnc(Br)c1Br,ArLi,1979.0,3.296445794206396,32.7,171.6866885229611,2.2347366240768585,41.9853927262859,151.68250240702844,0.3537001191729492,72773.36194527631,2.1809354848977303,38.104090093954824,3.4335608627680503
[Li]c1cccc(C(=O)OC(C)C)c1,ArLi,53.32,1.7268901407418216,34.73,179.2030594659448,2.253345419934561,40.92951536018628,129.42048142680233,0.3443569112164872,50583.420018435194,2.1120030110063155,37.708918392627616,3.641183727901282
[Li]C1CO1,unknown,285.3,2.4553017716570764,35.57,,,,,,,,,
[Li]c1ccc(C(=O)OCC)cc1,ArLi,21.86,1.339650157613684,37.13,172.90061406619824,2.2377965356977967,41.81177099129997,144.05338529576437,0.3022320382006035,57045.03237527108,2.1585234687809214,38.00891715675724,3.482204024678643
[Li]c1ccc(C(=O)OC(C)C)cc1,ArLi,72.85,1.862429556106009,37.58,172.22515520404602,2.2360965847972754,41.9082275107366,147.1789555025032,0.3000166327014946,74000.91906893777,2.1678457165061262,38.03955000465433,3.459011523656347
[Li]c1c(C)oc2ccccc12,ArLi,1082.0,3.0342272607705505,38.18,153.88040862268616,2.1871833308862865,44.68360309665986,163.8904683825887,0.367441363844724,68680.58358320821,2.214553696406269,38.87256367537571,3.3088305133216216
