arli_smiles,arx_smiles,n_reactions,n_cryo,mean_yield,ref_temp_C,stability_label,n_heavy_atoms,HeavyAtomCount,Li_C_degree,Li_C_ewg_neighbors,Li_C_hybridization_sp2,Li_C_hybridization_sp3,Li_C_is_aromatic,Li_neighbor_count,MW,MolLogP,NumAliphaticRings,NumAromaticAtoms,NumAromaticRings,NumBr,NumF,NumHalogens,NumHeteroatoms,NumI,NumLi,NumN,NumO,NumRotatableBonds,TPSA,has_epoxide,has_ester,has_nitrile
[Li]c1cc(CC)c2c(c1)OCO2,CCc1cc(Br)cc2c1OCO2,3,3,53.0,-78.0,batch_moderate,12,12,3,0,1,0,1,1,156.10999999999996,0.7715,1,6,1,0,0,0,3,0,1,0,2,1,18.46,0,0,0
[Li]Cc1cccc([Si](C)(C)C)c1,C[Si](C)(C)c1cccc(CBr)c1,1,0,52.6,-10.0,batch_moderate,12,12,2,0,0,1,0,1,170.257,1.9002999999999999,0,6,1,0,0,0,2,0,1,0,0,2,0.0,0,0,0
[Li]C1(CCOS(=O)(=O)c2ccccc2)CC1(Br)Br,O=S(=O)(OCCC1(Br)CC1(Br)Br)c1ccccc1,1,1,70.0,-78.0,batch_moderate,18,18,4,0,0,1,0,1,390.022,2.9990000000000014,1,6,1,2,0,2,7,0,1,0,3,5,43.370000000000005,0,0,0
[Li]c1cc(F)ccc1OCC,CCOc1ccc(F)cc1Br,1,1,80.1,-75.0,batch_stable,11,11,3,0,1,0,1,1,146.08999999999997,1.0181999999999998,0,6,1,0,1,1,3,0,1,0,1,2,9.23,0,0,0
[Li]c1cc(OC(F)(F)F)ccc1OC1CC1,FC(F)(F)Oc1ccc(OC2CC2)c(I)c1,1,1,94.1,-78.0,batch_stable,16,16,3,0,1,0,1,1,224.107,1.9202,1,6,1,0,3,3,6,0,1,0,2,3,18.46,0,0,0
[Li]c1ccc2c(c1)CCC2=NOC,CON=C1CCc2cc(Br)ccc21,2,2,65.0,-60.0,batch_moderate,13,13,3,0,1,0,1,1,167.13699999999997,0.7771,1,6,1,0,0,0,3,0,1,1,1,1,21.59,0,0,0
[Li]c1ccc(N2CC(C)OC(C)C2)c(C2OCCO2)c1,CC1CN(c2ccc(Br)cc2C2OCCO2)CC(C)O1,3,0,46.20000000000001,65.0,batch_moderate,20,20,3,0,1,0,1,1,269.27,1.1394,2,6,1,0,0,0,5,0,1,1,3,2,30.930000000000003,0,0,0
[Li]c1cc2c(nc1C)N1[C@H](C2)CN(C(=O)OC(C)(C)C)C[C@H]1C,Cc1nc2c(cc1Br)C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@@H](C)N21,2,2,68.7,-78.0,batch_moderate,23,23,3,0,1,0,1,1,309.33900000000006,1.5541199999999997,2,6,1,0,0,0,6,0,1,3,2,0,45.67,0,1,0
[Li]c1ccc2c(n1)N1[C@H](C2)CN(C(=O)OC(C)(C)C)C[C@H]1C,C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]2Cc3ccc(Br)nc3N21,1,1,37.6,-78.0,batch_moderate,22,22,3,1,1,0,1,1,295.312,1.2456999999999998,2,6,1,0,0,0,6,0,1,3,2,0,45.67,0,1,0
[Li]c1ccc(OC)c(OC)c1,COc1ccc(Br)cc1OC,1,0,61.5,0.0,batch_moderate,11,11,3,0,1,0,1,1,144.099,0.49759999999999993,0,6,1,0,0,0,3,0,1,0,2,2,18.46,0,0,0
[Li]c1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,Brc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,1,1,48.9,-78.0,batch_moderate,20,20,3,0,1,0,1,1,255.29000000000002,2.7628000000000013,2,12,2,0,0,0,2,0,1,1,0,1,3.24,0,0,0
[Li]C(=O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1,CC(C)(C)OC(=O)N[C@H](C(=O)Br)c1ccccc1,1,1,76.0,-78.0,batch_moderate,18,18,3,1,1,0,0,1,241.216,1.9474999999999998,0,6,1,0,0,0,5,0,1,1,3,3,55.400000000000006,0,1,0
[Li]c1cccc(C2(O)CCC2)c1,OC1(c2cccc(Br)c2)CCC1,2,0,4.8,0.0,batch_unstable,12,12,3,0,1,0,1,1,154.138,0.8519000000000001,1,6,1,0,0,0,2,0,1,0,1,1,20.23,0,0,0
